"","Number","Cell","Slice","Date","Sample","blah","cell_num","donor_id","Mouse date of birth","age","biological_sex","genotype","Targeted layer","Inferred layer","Cre","Exon reads","Intron reads","Intergenic reads","Sequencing batch","Number of genes detected","RNA family","RNA type","RNA type confidence","RNA type top-3","ALM/VISp top-3","top_cluster_string","top_alm_visp_cluster","subclass","corresponding_AIT2.3.1_alias","layer","type","region","cluster_score_string","cluster_score_string_number","rest","top_alm_visp_subclass","Length (bp)","Yield (pg/µl)","User","hold_time","Soma depth (µm)","Soma depth (4x)","Cortical thickness (4x)","Cortical thickness (µm)","Traced","Exclusion reasons","X1","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass","top_cluster_score","depth_from_pia_um","cell_count_per_donor","norm_cell_num","class","second","cluster_label","median_cluster_label_Microglia"
"11",11,"20171219_sample_3","20171219_slice_3",2017-12-19,"sample 3","sample",3,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",427369,453683,79849,1,12376,"IT","L4/5 IT_2",0.99,"L4/5 IT_2 (99.4%)","L5 IT ALM Lypd1 Gpr88 (68.0%), L5 IT VISp Hsd11b1 Endou (19.0%), L4 IT VISp Rspo1 (13.0%)","L5 IT ALM Lypd1 Gpr88 (68.0%), L5 IT VISp Hsd11b1 Endou (19.0%), L4 IT VISp Rspo1 (13.0%)","L5 IT ALM Lypd1 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","68.0%), L5 IT VISp Hsd11b1 Endou","68.0",", L5 IT VISp Hsd11b1 Endou","L5",2247,397.84,"Fede",10,"717.4",270.8,560.8,1547.808,"y",NA,11,"Glutamatergic","L4_on",197.935219162904,0.913052682913072,NA,0.442652607460663,-Inf,0.283623384771741,NA,0.208145081720766,0.210053034026489,0.0853777815887976,NA,NA,0.124793888929856,TRUE,68,717.4,7,3,"Glutamatergic",NA,"L5 IT",0.134980114455821
"12",12,"20171219_sample_4","20171219_slice_4",2017-12-19,"sample 4","sample",4,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",980179,592515,101977,2,12747,"ET","L5 ET_1",0.96,"L5 ET_1 (95.6%)","L5 PT VISp Krt80 (97.0%)","L5 PT VISp Krt80 (97.0%)","L5 PT VISp Krt80","L5 PT","L5 PT VISp","L5","PT","VISp","97.0%)","97.0","","L5",2222,515.48,"Fede",8,"911.6",332.7,599.8,1655.448,NA,NA,12,"Glutamatergic","L5.PT_on",229.620405680545,1.05921284925883,NA,0.595656409425697,Inf,0.0924271640521001,NA,0.181357076202274,0.0740048217271503,0.0937134504795977,NA,NA,0.0360053054060029,TRUE,97,911.6,7,4,"Glutamatergic",NA,"L5 PT",0.202847849190715
"13",13,"20171219_sample_6","20171219_slice_6",2017-12-19,"sample 6","sample",6,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",2471422,3168436,549646,1,18199,"ET","L5 ET_2",0.82,"L5 ET_2 (81.6%), L5 ET_4 (12.1%), L5 ET_3 (5.1%)","L5 PT VISp Lgr5 (100.0%)","L5 PT VISp Lgr5 (100.0%)","L5 PT VISp Lgr5","L5 PT","L5 PT VISp","L5","PT","VISp","100.0%)","100.0","","L5",1877,430.57,"Fede",10,"642.3",234.3,589.4,1626.744,"y",NA,13,"Glutamatergic","L5.PT_on",165.494771232487,0.763408581458891,NA,0.468726993375715,-Inf,0.117346678618546,NA,0.293253021578269,0.131665354871408,0.0921110454646483,NA,NA,0.106848365897461,TRUE,100,642.3,7,5,"Glutamatergic",NA,"L5 PT",0.202847849190715
"14",14,"20171219_sample_7","20171219_slice_7",2017-12-19,"sample 7","sample",7,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",1060473,251288,95858,1,14483,"IT","L5 IT_1",0.61,"L5 IT_1 (61.3%), L4/5 IT_2 (37.3%)","L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Tmem163 Dmrtb1 (11.0%)","L5 IT ALM Lypd1 Gpr88 (44.0%), L5 IT ALM Cbln4 Fezf2 (29.0%), L5 IT ALM Tmem163 Dmrtb1 (11.0%)","L5 IT ALM Lypd1 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","44.0%), L5 IT ALM Cbln4 Fezf2","44.0",", L5 IT ALM Cbln4 Fezf2","L5",1826,713.3,"Fede",12,"645.1",235,591.2,1631.712,"y",NA,14,"Glutamatergic","L5.IT_on",262.47338064994,1.21075989108565,NA,0.475302893160148,Inf,0.15386591745564,NA,0.0839749746273367,0.337939415925181,0.098063576546904,NA,NA,0.0754600143337802,TRUE,44,645.1,7,6,"Glutamatergic",NA,"L5 IT",0.134980114455821
"15",15,"20171219_sample_8","20171219_slice_8",2017-12-19,"sample 8","sample",8,"mouse_KKXUD",2017-10-19,61,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",6440446,745288,278593,1,18360,"ET","L5 ET_1",0.88,"L5 ET_1 (88.3%), L5 ET_2 (6.3%), L5 ET_4 (4.7%)","L5 PT VISp Krt80 (85.0%), L5 PT ALM Hpgd (8.0%), L5 PT ALM Slco2a1 (7.0%)","L5 PT VISp Krt80 (85.0%), L5 PT ALM Hpgd (8.0%), L5 PT ALM Slco2a1 (7.0%)","L5 PT VISp Krt80","L5 PT","L5 PT VISp","L5","PT","VISp","85.0%), L5 PT ALM Hpgd","85.0",", L5 PT ALM Hpgd","L5",2159,1307.7,"Fede",11,"654.3",239.5,513,1415.88,"y",NA,15,"Glutamatergic","L5.PT_on",230.468250684561,1.06312386195725,NA,0.556711601838191,Inf,0.0861916539786706,NA,0.211373403835989,0.0840412861341173,0.075635225872636,NA,NA,0.0604330941450791,TRUE,85,654.3,7,7,"Glutamatergic",NA,"L5 PT",0.202847849190715
"16",16,"20180102_sample_1","20180102_slice_1",2018-01-02,"sample 1","sample",1,"mouse_HXCVU",2017-10-19,75,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",1242323,1373770,310531,1,17573,"ET","L5 ET_1",1,"L5 ET_1 (100.0%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1","L5 PT","L5 PT ALM","L5","PT","ALM","99.0%)","99.0","","L5",2417,543.91,"Fede",13,"690",251.2,523.8,1445.688,"y",NA,16,"Glutamatergic","L5.PT_on",208.960293126027,0.963910096787758,NA,0.516177751149297,-Inf,0.254143954701985,NA,0.261897465334504,0.160448284506639,0.145527924679852,NA,NA,0.152302039933649,TRUE,99,690,5,1,"Glutamatergic",NA,"L5 PT",0.13675354978931
"17",17,"20180102_sample_2","20180102_slice_2",2018-01-02,"sample 2","sample",2,"mouse_HXCVU",2017-10-19,75,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",1500863,2292323,484154,1,20942,"IT","L5 IT_1",0.61,"L5 IT_1 (60.9%), L5 IT_2 (23.9%), L5 IT_3 (8.9%)","L5 IT ALM Gkn1 Pcdh19 (57.0%), L5 IT ALM Cpa6 Gpr88 (21.0%), L5 IT VISp Col27a1 (18.0%)","L5 IT ALM Gkn1 Pcdh19 (57.0%), L5 IT ALM Cpa6 Gpr88 (21.0%), L5 IT VISp Col27a1 (18.0%)","L5 IT ALM Gkn1 Pcdh19","L5 IT","L5 IT ALM","L5","IT","ALM","57.0%), L5 IT ALM Cpa6 Gpr88","57.0",", L5 IT ALM Cpa6 Gpr88","L5",1808,778.66,"Fede",12,"717.8",266.7,585.6,1616.256,NA,NA,17,"Glutamatergic","L5.IT_on",219.690640756132,1.01340797156564,NA,0.572421377668348,Inf,0.215823994531909,NA,0.222239154957506,0.135717259412493,0.216771075135568,NA,NA,0.178996497988914,TRUE,57,717.8,5,2,"Glutamatergic",NA,"L5 IT",0.134980114455821
"18",18,"20180102_sample_3","20180102_slice_3",2018-01-02,"sample 3","sample",3,"mouse_HXCVU",2017-10-19,75,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",451976,633174,107891,1,15478,"ET","L5 ET_1",1,"L5 ET_1 (99.7%)","L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)","L5 PT ALM Slco2a1 (94.0%), L5 PT VISp Krt80 (6.0%)","L5 PT ALM Slco2a1","L5 PT","L5 PT ALM","L5","PT","ALM","94.0%), L5 PT VISp Krt80","94.0",", L5 PT VISp Krt80","L5",2456,582.7,"Fede",11,"801.6",305.5,533.9,1473.564,"y",NA,18,"Glutamatergic","L5.PT_on",221.974277986077,1.02394213071336,NA,0.510195145103757,Inf,0.249740799418194,NA,0.291397543782207,0.30734657258895,0.1683745401412,NA,NA,0.120871472279646,TRUE,94,801.6,5,3,"Glutamatergic",NA,"L5 PT",0.13675354978931
"19",19,"20180102_sample_4","20180102_slice_4",2018-01-02,"sample 4","sample",4,"mouse_HXCVU",2017-10-19,75,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",8136289,9307202,2326755,1,21702,"ET","L5 ET_1",0.92,"L5 ET_1 (91.7%), L5 ET_4 (4.0%)","L5 PT VISp Krt80 (53.0%), L5 PT ALM Slco2a1 (47.0%)","L5 PT VISp Krt80 (53.0%), L5 PT ALM Slco2a1 (47.0%)","L5 PT VISp Krt80","L5 PT","L5 PT VISp","L5","PT","VISp","53.0%), L5 PT ALM Slco2a1","53.0",", L5 PT ALM Slco2a1","L5",2003,717.83,"Fede",11,"716",307.9,536.7,1481.292,"y",NA,19,"Glutamatergic","L5.PT_on",200.198034650264,0.923490793727351,NA,0.505924470321152,-Inf,0.234074217547057,NA,0.295959072187522,0.22643809222517,0.187895041872007,NA,NA,0.101095961434787,TRUE,53,716,5,4,"Glutamatergic",NA,"L5 PT",0.202847849190715
"20",20,"20180102_sample_5","20180102_slice_5",2018-01-02,"sample 5","sample",5,"mouse_HXCVU",2017-10-19,75,"M","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",5405143,4146131,1093120,1,20304,"IT","L4/5 IT_2",0.86,"L4/5 IT_2 (86.0%), L5 IT_1 (5.9%), L5 ET_2 (3.1%)","L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT VISp Hsd11b1 Endou (9.0%), L5 IT ALM Tmem163 Arhgap25 (4.0%)","L5 IT ALM Lypd1 Gpr88 (82.0%), L5 IT VISp Hsd11b1 Endou (9.0%), L5 IT ALM Tmem163 Arhgap25 (4.0%)","L5 IT ALM Lypd1 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","82.0%), L5 IT VISp Hsd11b1 Endou","82.0",", L5 IT VISp Hsd11b1 Endou","L5",2053,524.61,"Fede",12,"589.5",218.8,557.6,1538.976,"y",NA,20,"Glutamatergic","L5.IT_on",237.263366748366,1.09446896051526,NA,0.435586648595245,Inf,0.389815549091659,NA,0.18494995882637,0.567340671173186,0.244831199532716,NA,NA,0.098767386452782,TRUE,82,589.5,5,5,"Glutamatergic",NA,"L5 IT",0.134980114455821
"21",21,"20180103_sample_1","20180103_slice_1",2018-01-03,"sample 1","sample",1,"mouse_BXLFB",2017-10-27,68,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",441628,616429,103467,2,13790,"ET","L5 ET_1",0.91,"L5 ET_1 (91.3%), L5 ET_4 (5.1%)","L5 PT VISp Krt80 (93.0%), Oligo Synpr (4.0%)","L5 PT VISp Krt80 (93.0%), Oligo Synpr (4.0%)","L5 PT VISp Krt80","L5 PT","L5 PT VISp","L5","PT","VISp","93.0%), Oligo Synpr","93.0",", Oligo Synpr","L5",2169,739.17,"Fede",11,"860.7",307.2,566.3,1562.988,NA,NA,21,"Glutamatergic","L5.PT_on",160.600393355556,0.740831372255692,NA,0.358472464040178,-Inf,0.214675311620964,NA,0.188744081722672,0.15876640224939,0.821239467051202,NA,NA,0.115117510280985,TRUE,93,860.7,8,1,"Glutamatergic",NA,"L5 PT",0.202847849190715
"22",22,"20180103_sample_2","20180103_slice_2",2018-01-03,"sample 2","sample",2,"mouse_BXLFB",2017-10-27,68,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",7817990,13265394,2283480,1,22341,"ET","L5 ET_1",0.95,"L5 ET_1 (95.0%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1 (99.0%)","L5 PT ALM Slco2a1","L5 PT","L5 PT ALM","L5","PT","ALM","99.0%)","99.0","","L5",2148,736.07,"Fede",10,"1001.9",363.3,578.9,1597.764,"y",NA,22,"Glutamatergic","L5.PT_on",211.806763911976,0.977040543198134,NA,0.563354414870922,-Inf,0.187394802448057,NA,0.308490447572711,0.11449077250591,0.211274730892668,NA,NA,0.140835901104094,TRUE,99,1001.9,8,2,"Glutamatergic",NA,"L5 PT",0.13675354978931
"23",23,"20180103_sample_3","20180103_slice_3",2018-01-03,"sample 3","sample",3,"mouse_BXLFB",2017-10-27,68,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",1377121,78374,53639,2,10559,"ET","L5 ET_1",0.98,"L5 ET_1 (98.0%)","L5 PT ALM Slco2a1 (100.0%)","L5 PT ALM Slco2a1 (100.0%)","L5 PT ALM Slco2a1","L5 PT","L5 PT ALM","L5","PT","ALM","100.0%)","100.0","","L5",2083,368.84,"Fede",10,"1060.8",389.4,669.1,1846.716,NA,NA,23,"Glutamatergic","L5.PT_on",222.026641980962,1.02418367987384,NA,0.439792705347237,Inf,0.0736119504940956,NA,0.0988130609745809,0.112985420899996,0.0664282575788873,NA,NA,0.0129616948412318,TRUE,100,1060.8,8,3,"Glutamatergic",NA,"L5 PT",0.13675354978931
"24",25,"20180103_sample_5","20180103_slice_5",2018-01-03,"sample 5","sample",5,"mouse_BXLFB",2017-10-27,68,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",688127,1781619,235324,2,14498,"IT","L5 IT_1",0.97,"L5 IT_1 (97.1%)","L5 IT ALM Cpa6 Gpr88 (81.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%), L5 IT ALM Lypd1 Gpr88 (4.0%)","L5 IT ALM Cpa6 Gpr88 (81.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%), L5 IT ALM Lypd1 Gpr88 (4.0%)","L5 IT ALM Cpa6 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","81.0%), L5 IT ALM Gkn1 Pcdh19","81.0",", L5 IT ALM Gkn1 Pcdh19","L5",1751,734.5,"Fede",8,"858.3",291.3,550.6,1519.656,NA,NA,25,"Glutamatergic","L5.IT_on",210.15198091368,0.969407217190651,NA,0.550231983809772,-Inf,0.155017486562856,NA,0.163501829086501,0.234738173273919,0.0942255601160027,NA,NA,0.028517775279732,TRUE,81,858.3,8,5,"Glutamatergic",NA,"L5 IT",0.134980114455821
"25",26,"20180103_sample_6","20180103_slice_6",2018-01-03,"sample 6","sample",6,"mouse_BXLFB",2017-10-27,68,"F","Pvalb-Cre/wt; Ai9/wt","5","5","PV-",1689601,2614811,422908,2,14013,"IT","L5 IT_1",0.99,"L5 IT_1 (99.1%)","L5 IT ALM Cpa6 Gpr88 (45.0%), L5 IT ALM Lypd1 Gpr88 (30.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%)","L5 IT ALM Cpa6 Gpr88 (45.0%), L5 IT ALM Lypd1 Gpr88 (30.0%), L5 IT ALM Gkn1 Pcdh19 (13.0%)","L5 IT ALM Cpa6 Gpr88","L5 IT","L5 IT ALM","L5","IT","ALM","45.0%), L5 IT ALM Lypd1 Gpr88","45.0",", L5 IT ALM Lypd1 Gpr88","L5",2186,451.87,"Fede",10,"1061.2",393.1,659.8,1821.048,NA,NA,26,"Glutamatergic","L5.IT_on",216.665687313909,0.999454204935375,NA,0.493359666804429,-Inf,0.167706155039114,NA,0.122982588236096,0.144800301896847,0.0961559269299621,NA,NA,0.0719797939643165,TRUE,45,1061.2,8,6,"Glutamatergic",NA,"L5 IT",0.134980114455821
